Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude,Latitude_City,Longitude_City
Institutions treating patients with CGT pharmaceuticals,Royal Melbourne Hospital,,"CAR T, MSC, ISC-hpNSC Parkinsons Disease, GT Fabry Disease, GT Gaucher Disease, GT b-thalassemia, virus specific T cells",,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Royal Victorian Eye and Ear Hospital,,"Luxturna, for treating inherited retinal dystrophies",,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Victorian Eye and Ear Hospital/Centre for Eye Research Australia (CERA),,"GT Leber Congenital Amaurosis, GT AMD",,Melbourne,"Lauren Ayton, Tom Edwards, Dr Doron Hickey","Lauren Ayton, Tom Edwards, Dr Doron Hickey",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Women's Hospital,,human amnion epithelial cells,,Melbourne,Dr Rebecca Lim,Dr Rebecca Lim,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Scientifix Pty. Ltd.,,www.scientifix.com.au,,Melbourne,,Nikki Tsoudis,,www.scientifix.com.au,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Scinogy,cGMP compliant devices for cell washing and harvesting,https://www.scinogy.com/,,Melbourne,,,,https://www.scinogy.com/,46.3144754,11.0480288,46.3144754,11.0480288
Commercialisation strategy,SeerPharma,Quality and GMP,https://www.seerpharma.com/,,Melbourne,,,,https://www.seerpharma.com/,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,St Vincent's Institute,"pluripotent derived MSC (Cynata) MRFF, Univ of Arizona (devices)",,,Melbourne,,Thomas Loudovaris,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,STEMCELL Technologies,"media, cell dissociation/isolation, genome editing, supplement, cryopreservation",www.stemcell.com,,Melbourne,,Cyndy Nauer,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Sunshine Hospital,,iPSC-MSC,,Melbourne,"Jolanta Airey, MD","Jolanta Airey, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Tessara Therapeutics,"TTX-001 off-the shelf dopamine replacement micro tissue therapy, at Jumar incubator",www.tessaratherapeutics.com,,Melbourne,,Christos Papadimitriou,,www.tessaratherapeutics.com,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Translational Research Facility of the Monash Health Translation Precinct,,,,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,University of Melbourne,,"Christine Wells, Alice Pebay",,Melbourne,,Alice Pebay,,,46.3144754,11.0480288,46.3144754,11.0480288
,Johnson Matthey (Aust) Ltd,,,"64 Lillee Crescent, Tullamarine Melbourne",Melbourne,,,Johnson Matthey (Aust) Ltd,http://www.matthey.com.au/,-37.7096132,144.848763,46.3144754,11.0480288
,Nutromics,,,"420 Victoria St, Brunswick VIC 3056",Melbourne,,,Nutromics,https://www.nutromics.com/,-37.7665943,144.9566828,46.3144754,11.0480288
,Dimerix Limited,,,"425 Smith Street, Fitzroy VIC, 3065 Australia",Melbourne,,,Dimerix Limited,http://dimerix.com/,-37.7956439,144.9844653,46.3144754,11.0480288
,Gertrude Biomedical Pty Ltd,,,"30 Flemington Road, Parkville VIC 3052",Melbourne,,,Gertrude Biomedical Pty Ltd,https://www.gertrudebiomed.com/,-37.7973774,144.9533403,46.3144754,11.0480288
,"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",,,"30 Flemington Road, Parkville, Melbourne, Victoria",Melbourne,,,"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",https://www.bio21.unimelb.edu.au/,-37.7978347,144.9537755,46.3144754,11.0480288
,The Walter & Eliza Hall Institute of Medical Research,,,"1G Royal Parade, Parkville, Victoria 3052, Australia",Melbourne,,,The Walter & Eliza Hall Institute of Medical Research,https://www.wehi.edu.au/,-37.7981121,144.9560908,46.3144754,11.0480288
,Neuroscience Trials Australia,,,"30 Royal Parade, Parkville, Victoria 3052",Melbourne,,,Neuroscience Trials Australia,https://neurosciencetrialsaustralia.com/,-37.79832015,144.9585517,46.3144754,11.0480288
,The Florey Institute of Neuroscience and Mental Health,,,"30 Royal Parade, Parkville, Victoria 3052",Melbourne,,,The Florey Institute of Neuroscience and Mental Health,https://florey.edu.au/,-37.79832015,144.9585517,46.3144754,11.0480288
,Cancer Trials Australia,,,"305 Grattan Street, Melbourne, VIC, 3000",Melbourne,,,Cancer Trials Australia,http://www.cancertrialsaustralia.com/,-37.7999274,144.9562153,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Peter MacCallum Cancer Centre,,"CAR T, allo CAR T, allo CAR NK","305 Grattan St, Melbourne VIC 3052",Melbourne,"Jane Oliaro, Michael Dickinson, Simon Harrison, Dominic Wall","Jane Oliaro, Michael Dickinson, Simon Harrison, Dominic Wall",,,-37.7999274,144.9562153,46.3144754,11.0480288
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,"306 Grattan St, Melbourne VIC 3052",Melbourne,,,,,-37.8002971,144.9628453,46.3144754,11.0480288
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,Kymriah for relapsing/refractory adult diffuse large B-cell lymphoma,"307 Grattan St, Melbourne VIC 3052",Melbourne,,,,,-37.8002971,144.9628453,46.3144754,11.0480288
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,"Yescarta, for treating relapsing/refractory adult diffuse large B-cell lymphoma","308 Grattan St, Melbourne VIC 3052",Melbourne,,,,,-37.8002971,144.9628453,46.3144754,11.0480288
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,"Tecartus, for treating relapsed/refractory mantle cell lymphoma","309 Grattan St, Melbourne VIC 3052",Melbourne,,,,,-37.8002971,144.9628453,46.3144754,11.0480288
,Genetic Techonologies Ltd,,,"60-66 Hanover Street, Fitzroy, Victoria 3065 Australia",Melbourne,,,Genetic Techonologies Ltd,http://www.genetype.com/,-37.8027229,144.9742053,46.3144754,11.0480288
Companies developing Advanced Medicines,CSL Limited,"hemophilia GT, mRNA",www.csl.com.au,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",Melbourne,,Chris Alma,,www.csl.com.au,-37.8041652,144.9584547,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),CSL Ltd,"GMP licenses are for biologics, and perhaps virus production, not for cell therapy or gene therapy production yet",,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",Melbourne,,Christopher Alma,,,-37.8041652,144.9584547,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Bio-Strategy Ltd,workflow automation,https://www.bio-strategy.com.au/,Melbourne,Melbourne,,Vince Marrazzo,,https://www.bio-strategy.com.au/,-37.8142454,144.9631732,46.3144754,11.0480288
,Resolutum Global Pty Ltd,,,"Melbourne, VIC 3806, AU",Melbourne,,,Resolutum Global Pty Ltd,http://www.rgcro.com/,-37.8142454,144.9631732,46.3144754,11.0480288
,PolyActiva Pty Ltd,,,"77 Crown Street, Richmond VIC 3121 Australia",Melbourne,,,PolyActiva Pty Ltd,https://polyactiva.com/,-37.8167118,145.0089316,46.3144754,11.0480288
,Morgans Financial Limited,,,"367 Collins St, Melbourne VIC 3000",Melbourne,,,Morgans Financial Limited,,-37.8174397,144.9625232,46.3144754,11.0480288
Other RM product developers,Polynovo Ltd,biocompatible polymers - dermal tissue,https://au.polynovo.com/,"2/320 Lorimer Street, Port Melbourne, Victoria 3207 Australia",Melbourne,,,,https://au.polynovo.com/,-37.8296273,144.9008878,46.3144754,11.0480288
,Radium Capital,,,"10-20 Gwynne Street, Cremorne, Melbourne, VIC 3121",Melbourne,,,Radium Capital,,-37.8314873,144.9926696,46.3144754,11.0480288
,Invion Limited,,,"100 Albert Road, South Melbourne VIC 3205",Melbourne,,,Invion Limited,https://inviongroup.com/,-37.8349065,144.9711388,46.3144754,11.0480288
,360biolabs Pty Ltd,,,"85 Commercial Road, Melbourne, VIC, 3004",Melbourne,,,360biolabs Pty Ltd,http://www.360biolabs.com/,-37.845199,144.9810471,46.3144754,11.0480288
,Nirtek Pty Ltd,,,"75 Commercial Road, Melbourne, Victoria, 3004, Australia",Melbourne,,,Nirtek Pty Ltd,http://www.nirtek.com.au/,-37.84576955,144.9833518,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),IDT Australia Ltd,Industrial scale manufacture incl. fill-finish. No CGT as yet but can do mRNA encapsulation and fill finish.,https://en.idtaus.com.au/,"45 Wadhurst Drive, Boronia, Victoria 3155 Australia",Melbourne,,,,https://en.idtaus.com.au/,-37.8685475,145.2550792,46.3144754,11.0480288
,Fenix Innovation Group,,,"130/45 Gilby Rd., Mount Waverley, VIC 3149 Australia",Melbourne,,,Fenix Innovation Group,https://www.fenixinnovationgroup.com/,-37.8993461,145.136382,46.3144754,11.0480288
,INOVIQ Limited,,,"23 Normanby Road, Notting Hill VIC 3168 Australia",Melbourne,,,INOVIQ Limited,http://www.inoviq.com/,-37.9052136,145.1311603,46.3144754,11.0480288
,Technovalia Pty Ltd,,,"5a Hartnett Cl, Mulgrave VIC 3170, Australia",Melbourne,,,Technovalia Pty Ltd,http://www.technovalia.com/,-37.9229116,145.1491658,46.3144754,11.0480288
,OptiScan Imaging Ltd,,,"16 Miles Street, Mulgrave, Melbourne VIC 3170, AUSTRALIA",Melbourne,,,OptiScan Imaging Ltd,https://www.optiscan.com/,-37.9234007,145.1515772,46.3144754,11.0480288
,Universal Biosensors Pty Ltd,,,"1 Corporate Ave, Rowville VIC 3178",Melbourne,,,Universal Biosensors Pty Ltd,http://www.universalbiosensors.com/,-37.92546665,145.2195819,46.3144754,11.0480288
,Pakair Cargo Specialists Pty Ltd,,,"9 Duigan Drive, Moorabbin Airport, VIC 3194 Australia",Melbourne,,,Pakair Cargo Specialists Pty Ltd,https://www.pakair.com.au/,-37.9830058,145.0948855,46.3144754,11.0480288
,Cerecin Australia Pty Ltd,,,"102 Fox Drive, Dandenong 3175, Victoria, Australia",Melbourne,,,Cerecin Australia Pty Ltd,https://cerecin.com/,-38.0557736,145.2248097,46.3144754,11.0480288
,Deakin Research Commercial,,,,Melbourne,,,Deakin Research Commercial,http://www.deakin.edu.au/,46.3144754,11.0480288,46.3144754,11.0480288
,"Department of Jobs, Skills, Industry and Regions (VIC)",,,,Melbourne,,,"Department of Jobs, Skills, Industry and Regions (VIC)",https://djsir.vic.gov.au/what-we-do/industry-and-innovation,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,CRISPR Tx research site,,allo CAR T,,"Melbourne, Sydney","Alissa Keegan, MD","Alissa Keegan, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Novartis Investigational sites,,"CAR T, GT SMA",,"Melbourne, Sydney, Brisbane, Perth",Dr Ian Woodcock/Melbourne,Dr Ian Woodcock/Melbourne,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Calvary Mater Hospital,,"hemophilia GT, CAR T",,Newcastle,"John Rasko, Jane Olearo","John Rasko, Jane Olearo",,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Calvary Mater Hospital,,,,Newcastle,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Genesis Research Services,,non-integrating DNA plasmid neuropathic pain,,Newcastle,"Howard Rutman, MD,MBA","Howard Rutman, MD,MBA",,,46.3144754,11.0480288,46.3144754,11.0480288
Other RM product developers,Avita Medical,point of care skin processing for transplant,https://avitamedical.com/,,Perth,,,,https://avitamedical.com/,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Cell & Tissue Therapies Western Australia (CTTWA),,,,Perth,,Zlatibor Velickovic,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Curtin University,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Edith Cowan University,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Fiona Stanley Hospital,,"MSC, hemophilia GT, allo CAR T, iPSC-MSC",,Perth,"Dr Stephen Honeybul, MD, John Rasko, Aditi Mehta, Jolanta Airey","Dr Stephen Honeybul, MD, John Rasko, Aditi Mehta, Jolanta Airey",,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Fiona Stanley Hospital,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Harry Perkins Research institute,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,ISCT ANZ,translate cell & gene therapies into safe and effective treatments to improve patients' lives.,https://www.isctglobal.org/home,,Perth,,Zlatibor Velickovic,,https://www.isctglobal.org/home,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Lions Eye Institute,,eye GT,,Perth,Prof. P. Elizabeth Rakoczy,Prof. P. Elizabeth Rakoczy,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Lions Eye Institute,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Murdoch University,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),OrthoCell Ltd,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Other RM product developers,Osteopore,bioresorbable implant,https://www.osteopore.com/,,Perth,,,,https://www.osteopore.com/,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,PYC Therapeutics,mRNA,https://pyctx.com/,,Perth,,,,https://pyctx.com/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Perth Hospital,,"CAR T, MSC, GT Fabry Disease, GT b-thalassemia, iPSC-MSC",,Perth,"Dr Kenneth Micklethwaite, Dr Stephen Honeybul, MD, R.P.Herrmann, Duncan Purtill, Inderpal Panesar, Jolanta Airey","Dr Kenneth Micklethwaite, Dr Stephen Honeybul, MD, R.P.Herrmann, Duncan Purtill, Inderpal Panesar, Jolanta Airey",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Sir Charles Gairdner Hospital,,"MSC, allo CAR T, iPSC-MSC",,Perth,"Dr Stephen Honeybul, MD, Annie Weaver, PhD, Jolanta Airey","Dr Stephen Honeybul, MD, Annie Weaver, PhD, Jolanta Airey",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,St John of God Hospital,,ligament stem cell,,Perth,A/Prof Eugene Ek,A/Prof Eugene Ek,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,University of Western Australia,,,,Perth,,,,,46.3144754,11.0480288,46.3144754,11.0480288
,Acuity Capital,,,"Level 25, 108 St Georges Terrace, Perth WA 6000, Australia",Perth,,,Acuity Capital,,-31.9545771,115.8571795,46.3144754,11.0480288
,Resonance Health Pty Ltd,,,"141 Burswood Rd, Burswood WA 6100",Perth,,,Resonance Health Pty Ltd,http://www.resonancehealth.com/,-31.9636747,115.8988376,46.3144754,11.0480288
,"Department of Jobs, Tourism, Science and Innovation (WA)",,,,Perth,,,"Department of Jobs, Tourism, Science and Innovation (WA)",https://www.wa.gov.au/organisation/department-of-jobs-tourism-science-and-innovation,46.3144754,11.0480288,46.3144754,11.0480288
,Catalyst Clinical Research,,,"Schiphol Boulevard 359, 1118 BJ Schiphol, The Netherlands",Schiphol,,,Catalyst Clinical Research,,52.3075237,4.7567933,52.3075237,4.7567933
Supporting initiatives,ARCS Australia Ltd.,professional organisation focused on career long professional development for its members in the therapeutic goods sector.,https://www.arcs.com.au/,,Sydney,,Tim Boyle,,https://www.arcs.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Commercialisation strategy,Asia Pacific Consultants Pty. Ltd.,,https://www.a-p-c.com.au/services/gmp-and-quality-systems/,,Sydney,,,,https://www.a-p-c.com.au/services/gmp-and-quality-systems/,46.3144754,11.0480288,46.3144754,11.0480288
Clinical trials of Advanced Medicines,Bayer,,,,Sydney,,Loredana Esposito,,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Bioplatforms Australia,"omics technologies in support of all life science researchers working across human health, agriculture, biodiversity and industry.",https://bioplatforms.com/,,Sydney,,,,https://bioplatforms.com/,46.3144754,11.0480288,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,"Cell & Molecular Therapies, Royal Prince Alfred Hospital",dose preparation for clinical trials and market approved use,https://slhd.health.nsw.gov.au/rpa-hospital-research/cell-molecular-therapies,,Sydney,,Sharon Sagnella,,https://slhd.health.nsw.gov.au/rpa-hospital-research/cell-molecular-therapies,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Chris O'Brian Lifehouse,,,,Sydney,Jeremy Crook,"Eva Tomaskovic-Crook, Jeremy Crook",,,46.3144754,11.0480288,46.3144754,11.0480288
,Chubb Insurance Australia Limited *Special member discount,,,,Sydney,,,Chubb Insurance Australia Limited *Special member discount,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,CULTURON,TC coating for assay development and standardising cell culture,https://www.culturon.com.au/,,Sydney,,Stuart Fraser,,https://www.culturon.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Cytiva,,www.cytivalifesciences.com,,Sydney,,Janet Macpherson,,www.cytivalifesciences.com,46.3144754,11.0480288,46.3144754,11.0480288
Commercialisation strategy,Decode Science Pty Ltd,business development support,https://decodescience.com.au/,,Sydney,,Daina Elliott,,https://decodescience.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Commerical providers of Advanced Medicines,Gilead Science,Ex-vivo gene/cell therapy Yescarta and Tecartus.,,,Sydney,,Jane Langford,,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,ImmVirX,Oncolytic virus,https://www.immvirx.com/,,Sydney,,,,https://www.immvirx.com/,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Inventia Life Science,,www.inventia.life,,Sydney,,Jeremy Dobrowolski,,www.inventia.life,46.3144754,11.0480288,46.3144754,11.0480288
Other RM product developers,Inventia lifescience,3D printed tissue,https://inventia.life/,,Sydney,,,,https://inventia.life/,46.3144754,11.0480288,46.3144754,11.0480288
Clinical CRO,IQVIA Biotech,,,,Sydney,,Michelle Ng,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Liverpool Hospital,,T cells Multiple Schlerosis,,Sydney,"Kiren Kresa-Reahl, MD","Kiren Kresa-Reahl, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Macquarie Uni,gene therapy ALS/MND/LGD/AD/dementia/dravet syndrome,,,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
,"Melbourne School of Engineering, The University of Melbourne",,,,Sydney,,,"Melbourne School of Engineering, The University of Melbourne",https://eng.unimelb.edu.au/,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Miltenyi Biotec,"bioreactor, media and cell sorting",www.miltenyi.com,,Sydney,,Matt Banfield,,www.miltenyi.com,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Nepean Hospital,,iPSC-MSC,,Sydney,"Jolanta Airey, MD","Jolanta Airey, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Cell and Tissue repositories,NSW statewide biobank,,,,Sydney,,Jenny Byrne,,,46.3144754,11.0480288,46.3144754,11.0480288
Clinical trials of Advanced Medicines,Pfizer,,,,Sydney,,Louise Graham,,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Regeneus,autologous MSC,www.regeneus.com.au,,Sydney,,,,www.regeneus.com.au,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal North Shore Hospital,,MSC,,Sydney,Prof Lyn March,Prof Lyn March,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Prince Alfred Hospital,,"dendritic cells, hemophilia GT, b-Thalassemia GT, iPSC-MSC, allo CAR T, CAR T, GT dementia, allo CAR NK, rAAV, CRISPR/Cas9, GT hereditary angioedema, GT dislipidemias",,Sydney,"John Rasko, Kiren Kresa-Reahl, Olga Uspenskaya-Cadoz, David Shook","John Rasko, Kiren Kresa-Reahl, Olga Uspenskaya-Cadoz, David Shook",,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Royal Prince Alfred Hospital,,CAR T for diffuse large B-cell lymphoma,,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Royal Prince Alfred Hospital,,CAR T for acute lymphoblastic leukaemia (? 18 years ? 25 years old),,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Sanofi-Aventis Administrative office,,non-integrating DNA plasmid,,Sydney,,Helen Dodds,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Save Sight Institute,,,,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Skin2Neuron,nair follicle derived neurons for dementia,https://www.skin2neuron.org/,,Sydney,,Michael Valenzuela,,https://www.skin2neuron.org/,46.3144754,11.0480288,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,St Vincent's Sydney?,cell therapy facility announced 14th Feb 2024,,,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,St. Vincent's Hospital,,"Prostate cancer GT, MSC, CAR T, allo CAR NK, virus specific T cells",,Sydney,"David N Dalley, Daniel Chambers, Jane Oliaro, David Shook","David N Dalley, Daniel Chambers, Jane Oliaro, David Shook",,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,"Sydney Children's Hospital, Randwick",,Kymriah for acute lymphoblastic leukaemia (< 18 years old),,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Sydney Children's Hospital/Network,,"CAR T, GT SMA",,Sydney,A/Prof David Ziegler,A/Prof David Ziegler,,,46.3144754,11.0480288,46.3144754,11.0480288
Cell and Tissue repositories,Sydney Cord Blood Bank (AusCord),,,,Sydney,,Jessica Sue,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Sydney Eye Hospital and Save Sight Institute,,GT Leber Congenital Amaurosis,,Sydney,John Grigg,John Grigg,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Terumo BCT,,www.terumobct.com,,Sydney,,Babak Jafari,,www.terumobct.com,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Therapeutic Innovations Australia (TIA),invests in research infrastructure to enable seamless access to expertise and services vital to translate research discoveries into human health impacts.,https://therapeuticinnovation.com.au/,,Sydney,,Heather Donaghy,,https://therapeuticinnovation.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Thermofisher,,www.thermofisher.com.au,,Sydney,,Sylvie Shen,,www.thermofisher.com.au,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,University of Sydney,,Tumour Antigen Cellular Therapy,,Sydney,Dr Emily Blyth,Dr Emily Blyth,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,University of Sydney,,,,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,UNSW,"bioreactor, corneal cell therapy","Rob Nordon, Nick Di Girolamo",,Sydney,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Chimeric Therapeutics Ltd,CAR-T and CAR-NK,https://chimerictherapeutics.com/,Sydney/US,Sydney,,Jennifer Chow,,https://chimerictherapeutics.com/,27.9633563,-82.2073118,46.3144754,11.0480288
,Formrite Group Pty Ltd,,,"18/13 Gibbens Rd, ?West Gosford NSW 2250, Australia",Sydney,,,Formrite Group Pty Ltd,https://www.formrite.com.au/,-33.4156225,151.3250102,46.3144754,11.0480288
,Adapt ldeations Pty Ltd,,,"34/7 Salisbury Road, Castle Hill, NSW, 2154",Sydney,,,Adapt ldeations Pty Ltd,,-33.7290613,150.9766128,46.3144754,11.0480288
,Southern Star Research,,,"1 Merriwa Street, Gordon NSW 2072 Australia",Sydney,,,Southern Star Research,http://www.southernstarresearch.com/,-33.752652,151.147954,46.3144754,11.0480288
,Cellabs Pty Ltd,,,"7/27 Dale Street, Brookvale 2100, Sydney, NSW, AUSTRALIA",Sydney,,,Cellabs Pty Ltd,http://www.cellabs.com.au/,-33.763182,151.2687893,46.3144754,11.0480288
,Medtronic Australasia Pty Ltd,,,"2 Alma Road, Macquarie Park, NSW 2113 Australia",Sydney,,,Medtronic Australasia Pty Ltd,http://www.medtronic.com.au/,-33.7750249,151.1232014,46.3144754,11.0480288
,Smartways Logistics for Lifescience,,,"7/5 Talavera Road, Macquarie Park NSW 2113 Australia",Sydney,,,Smartways Logistics for Lifescience,https://smartwayslfl.com/,-33.7756786,151.1218124,46.3144754,11.0480288
,Cochlear Limited,,,"1 University Avenue, Macquarie University, NSW, 2109, Australia",Sydney,,,Cochlear Limited,https://www.cochlear.com/au/en/home,-33.777595,151.1133845,46.3144754,11.0480288
Commerical providers of Advanced Medicines,Novartis Pharmaceuticals Australia Pty Ltd,In-vivo gene therapies  Zolgensma and Luxtura. Imlygic cancelled 2021. Ex-vivo gene/cell therapy Kymriah.,,"54 Waterloo Rd, Macquarie Park NSW 2113",Sydney,,Monique Jonson,,,-33.783044,151.124779,46.3144754,11.0480288
,Sonic Clinical Trials Pty Ltd,,,"14 Giffnock Avenue, Macquarie Park NSW 2113, Australia",Sydney,,,Sonic Clinical Trials Pty Ltd,http://www.sonicclinicaltrials.com/,-33.784974,151.123766,46.3144754,11.0480288
,Teva Pharmaceuticals Australia Pty Ltd,,,"37 Epping Road, Macquarie Park, NSW 2113",Sydney,,,Teva Pharmaceuticals Australia Pty Ltd,http://www.tevapharm.com/,-33.79167255,151.1322785,46.3144754,11.0480288
Clinical CRO,Eurofins,,,179 Magowar Road GIRRAWEEN   NSW  2145,Sydney,,Fergus O'Connell,,,-33.8007581,150.9418955,46.3144754,11.0480288
Research facilities,Childrens Medical Research Institute (CMRI),,,"214 Hawkesbury Road, Westmead NSW 2145, Australia",Sydney,,Anai Gonzalez Cordero,,,-33.8079363,150.9871593,46.3144754,11.0480288
,Lucid Health Consulting Pty Ltd,,,"32 Mitchell St, McMahons Pt NSW 2060",Sydney,,,Lucid Health Consulting Pty Ltd,http://www.lucidhealthcon.com/,-33.8437214,151.2033969,46.3144754,11.0480288
,Race Oncology Limited,,,"1 Macquarie Pl, Sydney NSW 2000, Australia",Sydney,,,Race Oncology Limited,https://raceoncology.com/,-33.86222995,151.2099186,46.3144754,11.0480288
Cell and Tissue repositories,Cryosite Ltd,,www.cryosite.com,"13a Ferndell Street, South Granville NSW 2142",Sydney,,,,www.cryosite.com,-33.8638791,151.0091822,46.3144754,11.0480288
,Nexus APAC,,,"20 Bond St, Sydney NSW 2000",Sydney,,,Nexus APAC,,-33.864385,151.2085264,46.3144754,11.0480288
