Companies,Companies_full,Website2,Location,
Integrated DNA Technologies Australia Pty Ltd,Integrated DNA Technologies Australia Pty Ltd,http://www.idtdna.com/,"1710 Commercial Park, Coralville, Iowa 52241 USA",
,Integrated DNA Technologies Australia Pty Ltd,,"41 Science Park Road, #01-29 The Gemini, Singapore Science Park II, Singapore 117610, Republic of Singapore",
,Integrated DNA Technologies Australia Pty Ltd,,"Interleuvenlaan 12A, B-3001 Leuven Belgium",
Intellect Labs Pty Ltd,Intellect Labs Pty Ltd,https://intellectlabs.com.au/,"36 Agnes Street, Fortitude Valley QLD 4006 Australia",
Intuitive Insurance Solutions Pty Ltd,Intuitive Insurance Solutions Pty Ltd,http://www.intuitiveinsurance.com.au/,"Suite 6/03, 127 York St, Sydney NSW 2000",
Invion Limited,Invion Limited,https://inviongroup.com/,"100 Albert Road, South Melbourne VIC 3205",
IP Group Australia,IP Group Australia,http://www.ipgroupplc.com/,"2nd Floor 3 Pancras Square, King�s Cross, London, England N1C 4AG",
IQVIA�Biotech,IQVIA�Biotech,https://www.iqviabiotech.com/,,
James & Wells Australia,James & Wells Australia,http://www.jamesandwells.com/,"Suite 5, Level 22, Central Plaza One, 345 Queen St, Brisbane QLD 4000 Australia",
,James & Wells Australia,,"Level 2, 123 Carlton Gore Road, Newmarket, Auckland 1023, New Zealand",
,James & Wells Australia,,"Suite 2, Level 6, 160 Queen Street, Melbourne Victoria 3000",
Johnson Matthey (Aust) Ltd,Johnson Matthey (Aust) Ltd,http://www.matthey.com.au/,"64 Lillee Crescent, Tullamarine Melbourne",
Kantara Consulting,Kantara Consulting,https://kantaraconsulting.com.au/,,
Kurraba Group,Kurraba Group,https://www.kurrabagroup.com/,"Level 15, 124 Walker Street, North Sydney NSW 2060",
Labcorp,Labcorp,https://www.labcorp.com/,,
"La Trobe University, Innovation & Commercialisation","La Trobe University, Innovation & Commercialisation",http://www.latrobe.edu.au/researchers/innovation-commercialisation,Australia,
LBT Innovations,LBT Innovations,http://www.lbtinnovations.com/,"16 Anster St, Adelaide SA 5000",
Life Sciences Queensland Ltd (LSQ),Life Sciences Queensland Ltd (LSQ),http://www.lsq.com.au/,"37 Kent Street, Woolloongabba, Queensland 4102",
Linear Clinical Research Ltd,Linear Clinical Research Ltd,https://www.linear.org.au/,"QEII Medical Centre, First Floor, B Block, Hospital Avenue, Nedlands WA 6009, Australia",
Lucid Health Consulting�Pty Ltd,Lucid Health Consulting�Pty Ltd,http://www.lucidhealthcon.com/,"32 Mitchell St, McMahon�s Pt NSW 2060",
Lusid Pty Ltd,Lusid Pty Ltd,,,
M:M Bio,M:M Bio,https://www.molecule2medicine.com/,"99 Park Drive, Milton, Abingdon, England, OX14 4RY",
Macarthur Human Capital,Macarthur Human Capital,https://www.macarthurhc.com.au/,,
Macquarie University - Faculty of Medicine & Health Sciences,Macquarie University - Faculty of Medicine & Health Sciences,http://www.mq.edu.au/about/about-the-university/faculties-and-departments/faculty-of-medicine-and-health-sciences,,
Madderns Patent & Trade Mark Attorneys,Madderns Patent & Trade Mark Attorneys,http://www.madderns.com.au/,,
MaH�Clinical Trial Solutions,MaH�Clinical Trial Solutions,https://www.mahpharma.com/,"6/256E New Line Road, Dural, NSW 2158, Sydney, Australia�",
Marken,Marken,https://www.marken.com/,"Unit 5/14 Ashtan Place, Banyo, QLD, 4014 Australia",
,Marken,,"Unit 1/2 Distribution Lane, Sockburn, Christchurch, 8042 New Zealand",
,Marken,,"No.1 Shunqiang Rd., 2nd Floor, West Side building #1, Shunyi District Beijing 101300 China",
,Marken,,"Unit 12-13, 10/F, Peninsula Tower, 538 Castle Peak Road, Cheung Sha Wan, Kowloon, Hong Kong China",
,Marken,,"Plot� No.� 46/5, Survey no.348/1, Cooperative Industrial Estate, Gandhi Nagar, Kutbullapur, Hyderabad � Telangana 500037",
McCloud Consulting Group,McCloud Consulting Group,http://www.mccloudcg.com/,"Suite 13/23 Narabang Way, Belrose NSW 2085, Sydney, Australia",
McCullough Robertson Lawyers,McCullough Robertson Lawyers,https://www.mccullough.com.au/,,
Medtechnique Consulting,Medtechnique Consulting,http://www.medtechnique.com.au/,,
Medtronic Australasia Pty Ltd,Medtronic Australasia Pty Ltd,http://www.medtronic.com.au/,"2�Alma Road, Macquarie Park, NSW�2113 Australia",
Meizon Innovation,Meizon Innovation,https://www.linkedin.com/company/meizon-innovation-pty-ltd/,,
"Melbourne School of Engineering, The University of Melbourne","Melbourne School of Engineering, The University of Melbourne",https://eng.unimelb.edu.au/,,
Merck Pty Ltd,Merck Pty Ltd,https://www.merckmillipore.com/Au/en,"Ground Floor, Building 1, 885 Mountain Highway, Bayswater, VIC�3153 Australia",
Mesoblast Limited,Mesoblast Limited,http://www.mesoblast.com/,"55 Collins Street, Level 38, Melbourne 3000",
,Mesoblast Limited,,"505 Fifth Avenue, Level 3, New York, NY 10017",
,Mesoblast Limited,,"21 Biopolis Road, #01-22 Nucleos (South Tower), Singapore 138567",
mexec,mexec,http://www.mexeccareers.com/,,
Microba Pty Ltd,Microba Pty Ltd,http://www.microba.com/,,
Microbio,Microbio,http://microbio.com.au/,,
MINIMUM bio Pty Ltd,MINIMUM bio Pty Ltd,https://minimumbio.com/,,
Mobius Medical Pty Ltd,Mobius Medical Pty Ltd,https://mobiusmedical.com.au/,"Suite 1403/275 Alfred Street, North Sydney, NSW 2060 Australia",
,Mobius Medical Pty Ltd,,400 S 4th St Ste 410 Minneapolis MN 55415 USA,
Moderna Australia Pty Ltd,Moderna Australia Pty Ltd,https://www.modernatx.com/en-AU,"Level 49, 101 Collins St, Melbourne VIC 3000",
Monash College,Monash College,https://www.monashcollege.edu.au/,,
Monash Innovation,Monash Innovation,http://monash.edu/industry/,,
Morgans Financial Limited,Morgans Financial Limited,http://www.morgans.com.au/,"Riverside Centre, Level 29/123 Eagle St, Brisbane City QLD 4000",
,Morgans Financial Limited,,"Level 21/88 Phillip St, Sydney NSW 2000",
,Morgans Financial Limited,,"367 Collins St, Melbourne VIC 3000",
,Morgans Financial Limited,,"Level 1/25 Napier Cl, Deakin ACT 2600",
,Morgans Financial Limited,,"Level 9/86 Collins St, Hobart TAS 7000",
,Morgans Financial Limited,,"Level 2/36 Mitchell St, Darwin City NT 0800",
,Morgans Financial Limited,,"Level 1/70 Hindmarsh Square, Adelaide SA 5000",
,Morgans Financial Limited,,"Level 4, 50 Colin Street, West Perth WA 6005",
Murdoch Children's Research Institute,Murdoch Children's Research Institute,http://www.mcri.edu.au/,,
National Foundation for Medical Research and Innovation,National Foundation for Medical Research and Innovation,http://www.nfmri.org.au/,,
Navbit Pty Ltd,Navbit Pty Ltd,https://navbit.com/,"Suite 201, National Innovation Centre, 4 Cornwallis Street, South Eveleigh 2015, Eveleigh. Australia.",
Neo-Bionica,Neo-Bionica,https://neo-bionica.com/,,
Neuren Pharmaceuticals Limited,Neuren Pharmaceuticals Limited,http://www.neurenpharma.com/,"Suite 201, 697 Burke Road, Camberwell, VIC�3124 Australia",
Neuroscience Trials Australia,Neuroscience Trials Australia,https://neurosciencetrialsaustralia.com/,"30 Royal Parade, Parkville, Victoria 3052",
Newline Australia Insurance Pty Ltd,Newline Australia Insurance Pty Ltd,http://www.connectliability.com.au/,,
Next Science�Technologies Pty Ltd,Next Science�Technologies Pty Ltd,https://www.nextscience.com/,"10550 Deerwood Park Blvd #300, Jacksonville, FL 32256",
Nexus APAC,Nexus APAC,https://nexusapac.com.au/,"10 Bourke St, Barton ACT 2600",
,Nexus APAC,,"20 Bond St, Sydney NSW 2000",
Nirtek Pty Ltd,Nirtek Pty Ltd,http://www.nirtek.com.au/,"75 Commercial Road, Melbourne, Victoria, 3004, Australia",
Novartis Pharmaceuticals Australia Pty Ltd,Novartis Pharmaceuticals Australia Pty Ltd,http://www.novartis.com.au/,"54 Waterloo Rd, Macquarie Park NSW 2113",
Novotech,Novotech,http://www.novotech-cro.com/,"Level 19, 66 Goulburn Street, Sydney Australia",
Noxopharm,Noxopharm,https://www.noxopharm.com/site/content/,"Suite 71, 159 Ridgecrop Drive, CASTLE HILL NSW 2154",
NSW Government,NSW Government,http://investment.nsw.gov.au/,,
Nucleus Network,Nucleus Network,http://www.nucleusnetwork.com.au/,"Level 5, Clive Berghofer Cancer Research Centre (CBRC Building), 300C Herston Rd, Herston, Queensland, 4006 Australia",
Nutromics,Nutromics,https://www.nutromics.com/,"420 Victoria St, Brunswick VIC 3056",
,Nutromics,,"9276 Scranton Rd, San Diego, CA 92121, USA",
Nyrada Inc,Nyrada Inc,https://www.nyrada.com/site/content/,"Suite 2, Level 3, 828 Pacific Highway, Gordon NSW 2072. AUSTRALIA",
Obatica Pty Ltd,Obatica Pty Ltd,https://obatica.com/,"Level 1, 1-5 Link Road, Zetland 2017, Sydney NSW. Australia",
Oculus BioMed Ltd,Oculus BioMed Ltd,https://oculusbiomed.com.au/,"Level 19, 390 St. Kilda Rd, Melbourne, VIC, 3004",
OFX�*special member discount,OFX�*special member discount,https://www.ofx.com/en-au/?pid=15355,"Level 19, 60 Margaret Street, Sydney NSW 2000 Australia",
Omico,Omico,https://www.omico.com.au/,"Hilmer Building (E10), Union Rd, UNSW, Kensington, NSW, 2052 Australia",
OncoSil Medical Ltd,OncoSil Medical Ltd,https://www.oncosil.com/,"Level 5, 7 Eden Park Drive, Macquarie Park, NSW, 2113",
,OncoSil Medical Ltd,,"OncoSil Medical Europe GmbH, Kurfuerstendamm 195/3rd Fl., 10707 Berlin",
OncoRes Medical Ltd,OncoRes Medical Ltd,https://www.oncoresmedical.com/,"Suite 5 24 Leura Street, Nedlands WA 6009 Australia.",
OneVentures Pty Ltd,OneVentures Pty Ltd,http://www.one-ventures.com/,"Suite 13/02/179 Elizabeth St, Sydney NSW 2000 Australia",
,OneVentures Pty Ltd,,"17/31 Queen St, Melbourne VIC 3000, Australia",
On Q Recuitment,On Q Recuitment,https://www.onqrecruitment.com.au/,"Level 4, 69 Christie Street, St Leonards, NSW 2065",
Opthea Limited,Opthea Limited,http://www.opthea.com/,"Suite 0403, Level 4, 650 Chapel Street, South Yarra, Victoria 3141 Australia",
OptiScan Imaging Ltd,OptiScan Imaging Ltd,https://www.optiscan.com/,"16 Miles Street, Mulgrave, Melbourne VIC 3170, AUSTRALIA",
,OptiScan Imaging Ltd,,"3828 Kennett Pike, Suite 212, Greenville, DE 19807, USA",
,OptiScan Imaging Ltd,,"221 1st Avenue SW, Suite 610, Rochester, MN 55902, USA",
Oroborus Pty Ltd,Oroborus Pty Ltd,https://oroborus.com.au/,"37 Kent Street, Woolloongabba Queensland 4102, Australia",
Orthocell,Orthocell,http://www.orthocell.com.au/,"Building 191 Murdoch University, South Street, Murdoch. WA 6150",
Pakair Cargo Specialists Pty Ltd,Pakair Cargo Specialists Pty Ltd,https://www.pakair.com.au/,"9 Duigan Drive, Moorabbin Airport, VIC 3194 Australia",
Paradigm BioPharmaceuticals Ltd,Paradigm BioPharmaceuticals Ltd,https://paradigmbiopharma.com/,,
Parexel International Pty Ltd,Parexel International Pty Ltd,https://www.parexel.com/,"2520 Meridian Parkway,, Durham, NC 27713",
Patrys Ltd,Patrys Ltd,http://www.patrys.com/,"Level 4, 100 Albert Road, South Melbourne VIC 3205 Australia",
Percheron Therapeutics Limited,Percheron Therapeutics Limited,https://percherontx.com/,"L30, Collins Place, 35 Collins Street, Melbourne, VIC 3000 Australia",
Perennial Partners,Perennial Partners,https://perennial.net.au/,"Aurora Place, Level 27, 88 Phillip Street Sydney NSW 2000",
,Perennial Partners,,"Level 14, 55 Collins Street, Melbourne VIC 3000",
,Perennial Partners,,"Level 38, 71 Eagle Street Brisbane QLD 4000",
Peter MacCallum Cancer Centre,Peter MacCallum Cancer Centre,http://www.petermac.org/,"305 Grattan St, Melbourne VIC 3052",
PharmAust Limited,PharmAust Limited,https://www.pharmaust.com/,"Level 4, 96-100 Albert Road, South Melbourne VIC 3205",
Pharmsite Pty Limited,Pharmsite Pty Limited,http://www.pharmsite.com.au/,,
Phillips Ormonde Fitzpatrick,Phillips Ormonde Fitzpatrick,http://www.pof.com.au/,"Level 16 333 Collins Street, Melbourne VIC 3000",
,Phillips Ormonde Fitzpatrick,,"Suite 15.02 Level 15 4-6 Bligh Street, Sydney NSW 2000",
,Phillips Ormonde Fitzpatrick,,"Level 3 74 Pirie Street, Adelaide SA 5000",
,Phillips Ormonde Fitzpatrick,,"Building NP, ManuFutures, Deakin University, 75 Pigdons Road, Waurn Ponds VIC 3216",
,Phillips Ormonde Fitzpatrick,,"PO Box 79, Woodbridge TAS 7162",
Piper Alderman,Piper Alderman,http://www.piperalderman.com.au/,"Level 23, Governor Macquarie Tower",
Planet Innovation Pty Ltd,Planet Innovation Pty Ltd,http://www.planetinnovation.com.au/,"Level 23, Governor Macquarie Tower, 1 Farrer Place, Sydney NSW 2000",
,Planet Innovation Pty Ltd,,"Level 23/459 Collins St, Melbourne VIC 3000",
,Planet Innovation Pty Ltd,,"Riparian Plaza, level 26/71 Eagle St, Brisbane City QLD 4000",
,Planet Innovation Pty Ltd,,"16/70 Franklin St, Adelaide SA 5000",
,Planet Innovation Pty Ltd,,"Exchange Tower, Level 27/2 The Esplanade, Perth WA 6000",
PolyActiva Pty Ltd,PolyActiva Pty Ltd,https://polyactiva.com/,"77 Crown Street, Richmond VIC 3121 Australia",
,PolyActiva Pty Ltd,,"C/O MIPS, 381-399 Royal Parade, Parkville VIC 3052 Australia",
PolyNovo Limited,PolyNovo Limited,http://polynovo.com.au/,"2/320 Lorimer Street, Port Melbourne, Victoria 3207 Australia",
Premier Research Australia Pty Ltd,Premier Research Australia Pty Ltd,http://www.premier-research.com/,"Ground Floor, 23 Milton Parade, Malvern VIC 3144",
,Premier Research Australia Pty Ltd,,"3800 Paramount Parkway Suite 400, Morrisville, NC 27560",
Prescient Therapeutics Limited,Prescient Therapeutics Limited,http://www.ptxtherapeutics.com/,"Level 4, 100 Albert Road, South Melbourne VIC 3205",
Prime Accounting and Business Advisory Pty Ltd,Prime Accounting and Business Advisory Pty Ltd,http://www.primefinancial.com.au/,"Level 17, HWT Tower, 40 City Road, Southbank VIC 3006",
,Prime Accounting and Business Advisory Pty Ltd,,"Suite 3, Level 3, 1 Bligh Street, Sydney NSW 2000",
,Prime Accounting and Business Advisory Pty Ltd,,"Level 6/100 Creek Street, Brisbane QLD 4000",
ProPharma Group,ProPharma Group,https://www.propharmagroup.com/,"Suite 6, Ground Level, 452 Johnston Street, Abbotsford, VIC 3067",
Proto Axiom Pty Ltd,Proto Axiom Pty Ltd,https://www.protoaxiom.com/,"Suite 303, 80 Mount Street, North Sydney NSW 2060 Australia",
Protagonist Pty Ltd,Protagonist Pty Ltd,http://www.protagonist-inc.com/,"306 Carmody Road, St Lucia, Brisbane Qld 4072�AUSTRALIA",
,Protagonist Pty Ltd,,"7707 Gateway Boulevard, Suite 140, Newark, CA 94560-1160�USA",
Proteomics International Laboratories Limited,Proteomics International Laboratories Limited,http://www.proteomicsinternational.com/,"QEII Medical Centre, 6 Verdun Street, Nedlands, Perth WA 6009�Australia",
PSC Biotech Pty Ltd,PSC Biotech Pty Ltd,https://biotech.com/,"26 Boon Lay Way,�Trade Hub 21�#01-92, Singapore 609970",
QBiotics Group Limited,QBiotics Group Limited,https://qbiotics.com/,"PO Box 42, Toowong BC, QLD 4066 Australia",
QIMR Berghofer Medical Research Institute,QIMR Berghofer Medical Research Institute,http://www.qimrberghofer.edu.au/,"300 Herston Road, Herston, Queensland 4006",
Queensland University of Technology - Industry Engagement,Queensland University of Technology - Industry Engagement,http://www.research.qut.edu.au/,"2 George St, Brisbane, QLD 4000",
Race Oncology Limited,Race Oncology Limited,https://raceoncology.com/,"1 Macquarie Pl, Sydney NSW 2000, Australia",
Radium Capital,Radium Capital,https://radiumcapital.com.au/,"Level 3, 2 Mill Street, Perth, WA 6000",
,Radium Capital,,"Level 1, 388 George Street, Sydney, NSW 2000",
,Radium Capital,,"10-20 Gwynne Street, Cremorne, Melbourne, VIC 3121",
,Radium Capital,,"Level 38, 71 Eagle Street, Brisbane, QLD 4000",
Recce Pharmaceuticals Ltd,Recce Pharmaceuticals Ltd,http://www.recce.com.au/,"Level 23, 180 George St, Salesforce Tower, SYDNEY NSW 2000 Australia",
Research Australia Limited,Research Australia Limited,http://researchaustralia.org/,"384 Victoria Street, Darlinghurst NSW 2010",
"Research, Innovation & Commercialisation (RIC), The University of Melbourne","Research, Innovation & Commercialisation (RIC), The University of Melbourne",https://research.unimelb.edu.au/commercialisation,"The University of Melbourne, Grattan Street, Parkville, Victoria, 3010, Australia",
Resolian Bioanalytics,Resolian Bioanalytics,https://www.resolian.com/,"34 Corporate Dr, Cannon Hill QLD 4170",
Resolutum Global Pty Ltd,Resolutum Global Pty Ltd,http://www.rgcro.com/,"Melbourne, VIC 3806, AU",??
Resonance Health Pty Ltd,Resonance Health Pty Ltd,http://www.resonancehealth.com/,"141 Burswood Rd, Burswood WA 6100",
Respiri Limited,Respiri Limited,https://respiri.co/,"Suite 1, Level 9, 432 St Kilda Rd, Melbourne VIC 3004",
,Respiri Limited,,"750 Lexington Ave, 23rd Fl, New York, NY 10022",
Respirion Pharmaceuticals Pty Ltd,Respirion Pharmaceuticals Pty Ltd,https://respirionpharma.com/,"PO Box 214, Joondalup DC WA 6919",
,Respirion Pharmaceuticals Pty Ltd,,"3602 Horizon Drive, Suite 160, King of Prussia PA 19406",
Rob McInnes IP Advisory Pty Ltd,Rob McInnes IP Advisory Pty Ltd,http://www.robmcinnes.com.au/,"PO Box 817, Newtown NSW 2042",
Roche Australia,Roche Australia,http://www.roche-australia.com/,"2 Julius Avenue, North Ryde NSW 2113 Australia",
,Roche Australia,,"Level 8, 30-34 Hickson Road, Sydney NSW 2000 Australia",
,Roche Australia,,"98 Carlton Gore Road, Auckland 1023, Newmarket, New Zealand",
RSM Australia,RSM Australia,https://www.rsm.global/australia/,"Level 32/2 The Esplanade, Perth WA 6000",
,RSM Australia,,"Level 13/60 Castlereagh St, Sydney NSW 2000",
,RSM Australia,,"Level 6/340 Adelaide St, Brisbane City QLD 4000",
,RSM Australia,,"2/191 Pulteney St, Adelaide SA 5000",
,RSM Australia,,"Level 27/120 Collins St, Melbourne VIC 3000",
,RSM Australia,,"Equinox, Building 4, Level 2/70 Kent St, Deakin ACT 2600",
Sanofi ANZ,Sanofi ANZ,https://www.sanofi.com.au/,"Level 6, 412 St Kilda Road, Melbourne VIC 3004",
,Sanofi ANZ,,"87 Yarraman Place, Virginia QLD 4014",
,Sanofi ANZ,,"c/o DLA Piper, Level 15, PwC Tower, 15 Customs Street West, Auckland 1010",
,Sanofi ANZ,,"Talavera Corporate Centre, Building D, 12-24 Talavera Road, Macquarie Park, NSW 2113",
SAPRO Consulting Pty Ltd,SAPRO Consulting Pty Ltd,https://www.saproconsulting.com.au/,"Suite 201/1 at 175b Stephen Street, Yarraville VIC 3013",
Sementis Limited,Sementis Limited,http://www.sementis.com.au/,"25 North Terrace, Hackney SA, 5069, Australia",
Scientia Clinical Research Ltd,Scientia Clinical Research Ltd,https://www.scientiaclinicalresearch.com.au/,"5th Floor, Bright Alliance Building, Corner High and Avoca Street, Randwick, NSW 2031",
Shengsheng Australia Pty Ltd,Shengsheng Australia Pty Ltd,https://www.ssintnl.com/,"Building 3, #327 Jifeng Road, Minhang District, Shanghai",
Silverstone Developments Pty Ltd,Silverstone Developments Pty Ltd,http://silverstonedevelopments.com.au/,"Level 4, 26 Commercial Road, Newstead 4005",
Smartways Logistics for Lifescience,Smartways Logistics for Lifescience,https://smartwayslfl.com/,"7/5 Talavera Road, Macquarie Park NSW 2113 Australia",
Snoretox Ltd,Snoretox Ltd,http://www.snoretox.com/,,
Sonic Clinical Trials Pty Ltd,Sonic Clinical Trials Pty Ltd,http://www.sonicclinicaltrials.com/,"14 Giffnock Avenue, Macquarie Park NSW 2113, Australia",
Southern RNA Pty Ltd,Southern RNA Pty Ltd,https://southernrna.com.au/,"6 Yoga Wy, Springfield Central QLD 4300",
Southern Star Research,Southern Star Research,http://www.southernstarresearch.com/,"1 Merriwa Street, Gordon NSW 2072 Australia",
SpeeDx Pty Ltd,SpeeDx Pty Ltd,https://plexpcr.com/,"Suite 102, National Innovation Centre, 4 Cornwallis Street, Eveleigh, NSW 2015 Australia",
,SpeeDx Pty Ltd,,"Acre House, 11/15 William Road, London, NW1 3ER, United Kingdom",
,SpeeDx Pty Ltd,,"1400 Barbara Jordan Boulevard, Austin, TX 78723, United States",
Spruson & Ferguson,Spruson & Ferguson,http://www.spruson.com/,"Level 6, 175 Eagle Street, Brisbane QLD 4000, Australia",
,Spruson & Ferguson,,"Level 27, 385 Bourke Street, Melbourne, Victoria, 3000, Australia",
,Spruson & Ferguson,,"Level 24, Tower 2, Darling Park, 201 Sussex Street, Sydney NSW 2000, Australia",
Starpharma Holdings Limited,Starpharma Holdings Limited,http://www.starpharma.com/,,
St Vincent's Hospital Melbourne,St Vincent's Hospital Melbourne,http://www.svhm.org.au/,"41 Victoria Parade, Fitzroy�VIC�3065",
Syneos Health,Syneos Health,http://www.syneoshealth.com/,"Level 24, 91 Westpac House, King William St., Adelaide, 5000, Australia",
Syntara,Syntara,https://www.pharmaxis.com.au/,,
Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited,http://www.takeda.com/,"1-1, Nihonbashi-Honcho 2-chome, Chuo-ku, Tokyo 103-8668, Japan",
,Takeda Pharmaceutical Company Limited,,"1-1, Doshomachi 4-chome, Chuo-ku, Osaka 540-8645, Japan",
Technovalia Pty Ltd,Technovalia Pty Ltd,http://www.technovalia.com/,"5a Hartnett Cl, Mulgrave VIC 3170, Australia",
TekCyte Pty Ltd,TekCyte Pty Ltd,https://tekcyte.com/,"Level 3, Materials and Minerals (MM) Building, UniSA Mawson Lakes Campus, Mawson Lakes, South Australia 5095 Australia",
Teleaus Bioscience Health Pty Ltd (Genofax),Teleaus Bioscience Health Pty Ltd (Genofax),https://www.genofax.com/,,
Telethon Kids Institute,Telethon Kids Institute,http://www.telethonkids.org.au/,"Northern Entrance, Perth Children's Hospital, 15 Hospital Avenue, NEDLANDS WA 6009",
Telix Pharmaceuticals Pty Ltd,Telix Pharmaceuticals Pty Ltd,http://www.telixpharma.com/,"Level 4, 55 Flemington Road, North Melbourne, VIC Australia, 3051",
,Telix Pharmaceuticals Pty Ltd,,"Suite 7.01, 10 Bridge Street, Sydney, NSW Australia, 2000",
,Telix Pharmaceuticals Pty Ltd,,"52 McDougall Street, Milton, Brisbane, QLD Australia, 4064",
Tenmile Ventures Pty Ltd,Tenmile Ventures Pty Ltd,https://www.tenmile.com/,"PO Box 3155, Broadway Nedlands, WA 6009",
Teva Pharmaceuticals Australia Pty Ltd,Teva Pharmaceuticals Australia Pty Ltd,http://www.tevapharm.com/,"37 Epping Road, Macquarie Park, NSW 2113",
Therapeutic Goods Administration (TGA),Therapeutic Goods Administration (TGA),https://www.tga.gov.au/,"TGA, PO Box 100, Woden ACT 2606, Australia",
Thermo Fisher Scientific,Thermo Fisher Scientific,https://www.thermofisher.com/au/en/home.html,"168 Third Avenue, Waltham, MA USA 02451",
The Florey Institute of Neuroscience and Mental Health,The Florey Institute of Neuroscience and Mental Health,https://florey.edu.au/,"30 Royal Parade, Parkville,�Victoria�3052",
The Institute for Molecular Biosciences - The University of Queensland,The Institute for Molecular Biosciences - The University of Queensland,http://imb.uq.edu.au/,"The University of Queensland, Brisbane QLD 4072 Australia",
"The University of Newcastle, Knowledge Exchange and Enterprise (KEE)","The University of Newcastle, Knowledge Exchange and Enterprise (KEE)",https://www.newcastle.edu.au/engage/business-and-industry/knowledge-exchange-and-enterprise,,
"The University of Queensland, Biotechnology Program","The University of Queensland, Biotechnology Program",http://www.scmb.uq.edu.au/biotech,"Chemistry Building 68, Cooper Road, The University of Queensland, St Lucia 4072,�Queensland, Australia",
Tissue Repair,Tissue Repair,https://tissuerepair.com.au/,"Level 10, 255 Pitt St, Sydney, NSW, 2000 Australia",
Traders Macquarie Pty Ltd,Traders Macquarie Pty Ltd,,,
Translational Research Institute Australia,Translational Research Institute Australia,http://www.tri.edu.au/,"37 Kent Street, Woolloongabba QLD 4102, AUSTRALIA",
TruScreen Pty Ltd,TruScreen Pty Ltd,http://www.truscreen.com/,"Suite 3.03, 18 Orion Rd, Lane Cove West, NSW 2066 Australia",
,TruScreen Pty Ltd,,"c/- HLB Mann Judd Limited, Level 6, Equitable House 57, Symonds Street, Grafton, Auckland 1010 New Zealand",
Uniquest Pty Ltd,Uniquest Pty Ltd,http://www.uniquest.com.au/,,
Unispace,Unispace,https://www.unispace.com/industry-life-sciences,"Suite 3, Level 3, 12 Pirie St, Adelaide SA 5000 Australia",
,Unispace,,"Level 24, 188 Quay Street, Auckland 1010 New Zealand",
,Unispace,,"Level 9, Suite 1, 'The Annex', 12 Creek Street, Brisbane QLD 4000 Australia",
,Unispace,,"Level 4, 1 Collins Street, Melbourne VIC 3000 Australia",
,Unispace,,"Level 7, 191 St Georges Terrace, Perth WA 6000 Australia",
,Unispace,,"Level 43, 225 George Street, Sydney NSW 2000 Australia",
Universal Biosensors Pty Ltd,Universal Biosensors Pty Ltd,http://www.universalbiosensors.com/,"1 Corporate Ave, Rowville VIC 3178",
University of South Australia - Enterprise Partnership Unit,University of South Australia - Enterprise Partnership Unit,https://www.unisa.edu.au/,,
University of Tasmania,University of Tasmania,http://www.utas.edu.au/,,
"University of Technology Sydney , Faculty of Science","University of Technology Sydney , Faculty of Science",https://www.uts.edu.au/about/faculty-science,,
"University of Wollongong - Faculty of Science, Medicine and Health","University of Wollongong - Faculty of Science, Medicine and Health",https://www.uow.edu.au/science-medicine-health/,,
UNSW Industry & Innovation,UNSW Industry & Innovation,https://www.knowledgeexchange.unsw.edu.au/,,
UNSW RNA Institute,UNSW RNA Institute,https://www.rna.unsw.edu.au/,"Level 6 Hilmer Building (E10), UNSW Kensington Campus",
UNSW School of Biotechnology and Biomolecular Sciences,UNSW School of Biotechnology and Biomolecular Sciences,https://www.unsw.edu.au/science/our-schools/babs,"UNSW Sydney, High St�, Kensington NSW 2052�Australia",
Vaxxas Pty Ltd,Vaxxas Pty Ltd,https://www.vaxxas.com/,"47 Thorndike St Suite B1-1, Cambridge MA 02141 United States",
,Vaxxas Pty Ltd,,"240 MacArthur Avenue, Hamilton QLD 4007 Australia",
Vectus Biosystems Limited,Vectus Biosystems Limited,http://www.vectusbiosystems.com.au/,"Level 3, 11 Julius Avenue, North Ryde NSW 2113 Australia",
Venture Valuation,Venture Valuation,http://www.venturevaluation.com/,"Kasernenstrasse 11, 8004 Zurich Switzerland",
Vetter Pharma International GmbH,Vetter Pharma International GmbH,http://www.vetter-pharma.com/,Vetter Pharma International GmbH Singapore Branch 50 Raffles Place Level 30-01 Singapore Land Tower 048623 Singapore,
"Vial Health Technology, Inc.","Vial Health Technology, Inc.",http://vial.com/,,
Viedoc Technologies AB,Viedoc Technologies AB,https://www.viedoc.com/,"Stationsgatan 23, Uppsala, Sweden",
,Viedoc Technologies AB,,"4208 Six Forks Road, Suite 1000, Raleigh, NC 27609 USA",
,Viedoc Technologies AB,,"8-6-305 Nihombashi-kobunacho Chuo-ku, Tokyo 103-0024, Japan",
Viral Vector Manufacturing Facility Pty Ltd,Viral Vector Manufacturing Facility Pty Ltd,https://www.vvmf.com.au/,"5 Oldham Rd, Elizabeth South SA 5112",
Vitrafy Life Sciences Ltd,Vitrafy Life Sciences Ltd,https://www.vitrafy.com/,,
Viatris,Viatris,https://www.viatris.com/en,"Level 1, 30 The Bond, 30-34 Hickson Road, Millers Point NSW 2000",
Vitura Health Limited,Vitura Health Limited,https://www.vitura.com.au/,,
