Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude
Institutions treating patients with CGT pharmaceuticals,Chris O'Brian Lifehouse,,,,Sydney,Jeremy Crook,"Eva Tomaskovic-Crook, Jeremy Crook",,,46.3144754,11.0480288
,Chubb Insurance Australia Limited *Special member discount,,,,Sydney,,,Chubb Insurance Australia Limited *Special member discount,,46.3144754,11.0480288
,Clarity Pharmaceuticals,,,"4 Cornwallis Street, National Innovation Centre, Eveleigh 2015 NSW",Sydney,,,Clarity Pharmaceuticals,http://www.claritypharmaceuticals.com/,,
Commercialisation strategy,Clinical consulting,,,,,,,,,46.3144754,11.0480288
non TGA autologous MSC transplant,Clinical Stem Cells,,www.clinicalstemcells.com,,,,,,www.clinicalstemcells.com,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,CMAX clinical research/Uni Adel,,non-integrating DNA plasmid OA,"Ground Floor, 21-24 North Terrace, Adelaide, South Australia 5000",Adelaide,,,,,,
,Cochlear Limited,,,"1 University Avenue, Macquarie University, NSW, 2109, Australia",Sydney,,,Cochlear Limited,https://www.cochlear.com/au/en/home,-33.777595,151.1133845
,"Collaborative Drug Discovery, Inc",,,"718 7th St NW, Washington, DC 20001",,,,"Collaborative Drug Discovery, Inc",https://www.collaborativedrug.com/,38.8991309,-77.0220918
,"Collaborative Drug Discovery, Inc",,,"Nine Hills Road, Cambridge, CB2 1GE, United Kingdom",,,,"Collaborative Drug Discovery, Inc",,,
,Commissioning Agents International (Australia) Pty Ltd,,,"2601 Fortune Circle East, Suite 301B, Indianapolis, IN 46241 USA",,,,Commissioning Agents International (Australia) Pty Ltd,https://cagents.com/,,
Advanced Medicine tools providers - with physical presence in Australia,Concr,AI/machine learning diagnostics,https://concr.co/,Brisbane,,,,,https://concr.co/,-27.4689682,153.0234991
,ConnectBio,,,"12265 El Camino Real, Suite 350, San Diego, CA 92130",,,,ConnectBio,https://www.connectbiopharm.com/about-us/,,
,Cook Medical,,,"95 Brandl Street, Eight Mile Plains, Brisbane, QLD 4113, AUSTRALIA",Brisbane,,,Cook Medical,https://www.cookmedical.com.au/,-27.57759465,153.0989119
,Corematic,,,"4/26 Navigator Place, Hendra QLD 4011",Brisbane,,,Corematic,https://corematic.com.au/,-27.4139572,153.074922
Institutions treating patients with CGT pharmaceuticals,CRISPR Tx research site,,allo CAR T,,"Melbourne, Sydney","Alissa Keegan, MD","Alissa Keegan, MD",,,46.3144754,11.0480288
,Crux Biolabs,,,"Building 21, 885 Mountain Highway, Bayswater Victoria 3153 Australia",Melbourne,,,Crux Biolabs,http://www.cruxbiolabs.com/,,
,Crux Biolabs,,,"Building 2A, Ground Floor, Lakes Business Park, 2-12 Lord Street, Botany NSW 2019 Australia",Sydney,,,Crux Biolabs,,,
Clinical CRO,CryoPDP,,www.cryopdp.com,,Brisbane,,Kim Alexander,,www.cryopdp.com,46.3144754,11.0480288
Cell and Tissue repositories,Cryosite Ltd,,www.cryosite.com,"13a Ferndell Street, South Granville NSW 2142",Sydney,,,,www.cryosite.com,-33.8638791,151.0091822
Supporting initiatives,CSIRO,"scientific research organisations, dedicated to addressing Australia's most pressing challenges.",https://www.csiro.au/,,Melbourne,,Susie Nilsson,,https://www.csiro.au/,46.3144754,11.0480288
Process development only facilities,CSIRO - Recombinant Protein Production and Purification Facility,"This is, or should be cGMP compliant/TGA licensed",https://www.csiro.au/en/work-with-us/use-our-labs-facilities/recombinant-protein-facility,,,,John Power,,https://www.csiro.au/en/work-with-us/use-our-labs-facilities/recombinant-protein-facility,46.3144754,11.0480288
Companies developing Advanced Medicines,CSL Limited,"hemophilia GT, mRNA",www.csl.com.au,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",Melbourne,,Chris Alma,,www.csl.com.au,-37.8041652,144.9584547
TGA licensed GMP facilities (and process development),CSL Ltd,"GMP licenses are for biologics, and perhaps virus production, not for cell therapy or gene therapy production yet",,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",Melbourne,,Christopher Alma,,,-37.8041652,144.9584547
Advanced Medicine tools providers - with physical presence in Australia,CULTURON,TC coating for assay development and standardising cell culture,https://www.culturon.com.au/,,Sydney,,Stuart Fraser,,https://www.culturon.com.au/,46.3144754,11.0480288
Companies developing Advanced Medicines,Currus Biologics,CAR T,https://www.currusbio.com/,,Melbourne,,Sam Cobb,,https://www.currusbio.com/,46.3144754,11.0480288
Research facilities,Curtin University,,,,Perth,,,,,46.3144754,11.0480288
,Cyban Pty Ltd,,,"L18, 1 Nicholson St, East Melbourne 3002",Melbourne,,,Cyban Pty Ltd,https://www.cyban.com.au/,,
Companies developing Advanced Medicines,Cynata Therapeutics,iPSC derive MSC,www.cynata.com,"Level 3, 100 Cubitt Street, Cremorne, Victoria, 3121, AUSTRALIA",Melbourne,,Kilian Kelly,,www.cynata.com,,
Clinical trials of Advanced Medicines,Cynata Therapeutics Ltd,,,,,,,,,46.3144754,11.0480288
Companies developing Advanced Medicines,Cyteph,Allogeneic CMV+ VSTs,https://cyteph.bio/,,Brisbane,,Rajiv Khanna,,https://cyteph.bio/,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Cytiva,,www.cytivalifesciences.com,,Sydney,,Janet Macpherson,,www.cytivalifesciences.com,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Dandenong Hospital,,human amnion epithelial cells,,Melbourne,Dr Rebecca Lim,Dr Rebecca Lim,,,46.3144754,11.0480288
Approved commercial treatment centres,Darwin commercial site.,,,,Darwin,,,,,46.3144754,11.0480288
,Datapharm Australia Pty Ltd,,,,,,,Datapharm Australia Pty Ltd,http://datapharmaustralia.com/,46.3144754,11.0480288
,Davies Collison Cave,,,"Level 15, 1 Nicholson Street, Melbourne, VIC 3000",Melbourne,,,Davies Collison Cave,http://www.davies.com.au/,,
,Davies Collison Cave,,,"Level 4, 7 Macquarie Place, Sydney NSW 2000",Sydney,,,Davies Collison Cave,,,
,Davies Collison Cave,,,"Level 10, 301 Coronation Drive, Milton QLD 4064",Brisbane,,,Davies Collison Cave,,-27.4767745,153.0013527
,Davies Collison Cave,,,"Level 9, 2 Phillip Law Street New Acton, Canberra ACT 2601",Canberra,,,Davies Collison Cave,,,
,Davies Collison Cave,,,"The Wentworth Building, Level 2, 300 Murray Street Mall Perth 6000",Perth,,,Davies Collison Cave,,,
,Davies Collison Cave,,,"24 Davey Street, Hobart Tasmania 7000",Hobart,,,Davies Collison Cave,,-42.8948219,147.3151339
,Davies Collison Cave,,,"Q Building University of Newcastle, 16B Honeysuckle Drive, Newcastle NSW 2300",Sydney,,,Davies Collison Cave,,,
,Davies Collison Cave,,,"Level 30, Westpac House 91 King William Street, Adelaide SA 5000",Adelaide,,,Davies Collison Cave,,,
,De Motu Cordis Pty Ltd,,,,,,,De Motu Cordis Pty Ltd,http://www.demotucordis.co/,46.3144754,11.0480288
,Deakin Research Commercial,,,,,,,Deakin Research Commercial,http://www.deakin.edu.au/,46.3144754,11.0480288
Commercialisation strategy,Decode Science Pty Ltd,business development support,https://decodescience.com.au/,,Sydney,,Daina Elliott,,https://decodescience.com.au/,46.3144754,11.0480288
,Deloitte,,,,,,,Deloitte,https://www2.deloitte.com/au/en/pages/about-deloitte/articles/about-deloitte-australia.html,46.3144754,11.0480288
,Department of Environment and Science (QLD),,,,,,,Department of Environment and Science (QLD),http://www.des.qld.gov.au/,46.3144754,11.0480288
,"Department of Jobs, Skills, Industry and Regions (VIC)",,,,,,,"Department of Jobs, Skills, Industry and Regions (VIC)",https://djsir.vic.gov.au/what-we-do/industry-and-innovation,46.3144754,11.0480288
,"Department of Jobs, Tourism, Science and Innovation (WA)",,,,,,,"Department of Jobs, Tourism, Science and Innovation (WA)",https://www.wa.gov.au/organisation/department-of-jobs-tourism-science-and-innovation,46.3144754,11.0480288
,"Department of State Development, Infrastructure, Local Government & Planning (QLD)",,,,Brisbane,,,"Department of State Development, Infrastructure, Local Government & Planning (QLD)",http://www.dsdmip.qld.gov.au/,46.3144754,11.0480288
,Diagnostic Technology Pty Ltd,,,"Suite 45, 7 Narabang Way, Belrose, NSW, 2085, Australia",Sydney,,,Diagnostic Technology Pty Ltd,https://www.diagnostictechnology.com.au/,,
,Dimerix Limited,,,"425 Smith Street, Fitzroy VIC, 3065 Australia",Melbourne,,,Dimerix Limited,http://dimerix.com/,-37.7956439,144.9844653
,DLA Piper Australia,,,,,,,DLA Piper Australia,https://www.dlapiper.com/,46.3144754,11.0480288
,DMTC Ltd,,,"Level 1, 620 High Street, Kew VIC 3101",Melbourne,,,DMTC Ltd,https://dmtc.com.au/,,
,Doherty Clinical Trials Ltd,,,,,,,Doherty Clinical Trials Ltd,https://www.dohertyclinicaltrials.com/,46.3144754,11.0480288
,Douglas Pharmaceuticals Ltd,,,"2 Te Pai Pl, Henderson, Auckland 0610, New Zealand",,,,Douglas Pharmaceuticals Ltd,https://www.douglas.co.nz/,-36.8624998,174.6346086
,E&P Financial Group,,,"Level 32, 1 O'Connell Street, Sydney NSW 2000",Sydney,,,E&P Financial Group,http://eap.com.au/,,
,E&P Financial Group,,,"Level 9, 171 Collins Street, Melbourne VIC 3000",Melbourne,,,E&P Financial Group,,,
,E&P Financial Group,,,"Level 6, 1 Constitution Avenue, Canberra ACT 2601",Canberra,,,E&P Financial Group,,,
,E&P Financial Group,,,"Level 4, 1 Eagle Street, Brisbane QLD 4000",Brisbane,,,E&P Financial Group,,,
Research facilities,Edith Cowan University,,,,Perth,,,,,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Emeritus Research,,MSC,,Melbourne,"Donna Skerrett, Stephen Hall","Donna Skerrett, Stephen Hall",,,46.3144754,11.0480288
,Emyria Ltd,,,"D2 661 Newcastle Street, Leederville WA 6007",Perth,,,Emyria Ltd,https://emyria.com/,,
,ENA Respiratory,,,,,,,ENA Respiratory,https://enarespiratory.com/,46.3144754,11.0480288
,Encap Solutions Pty Ltd,,,"Building 53/11 Julius Ave, North Ryde NSW 2113 Australia",Sydney,,,Encap Solutions Pty Ltd,https://www.encapsolutions.com.au/,,
,Endpoints Capital,,,81-83 Campbell Street Surry Hill NSW 2010,Sydney,,,Endpoints Capital,https://endpointscapital.com.au/,,
,EnGeneIC,,,"Level 4, Building 53, 11 Julius Avenue, North Ryde, NSW Australia 2113",Sydney,,,EnGeneIC,https://engeneic.com/,,
,EpiAxis TherapeuticsEpichem Pty Ltd,,,,,,,EpiAxis TherapeuticsEpichem Pty Ltd,https://www.epiaxistherapeutics.com/,46.3144754,11.0480288
,Epichem Pty Ltd,,,"Suite 11, 3 Brodie-Hall Drive, Technology Park, Bentley WA 6102, Australia",Perth,,,Epichem Pty Ltd,https://epichem.com.au/,,
Advanced Medicine tools providers - with physical presence in Australia,Eppendorf,"environmental monitoring, pumps, connectors, tubing, freezers, chemicals, consumables",www.eppendorf.com,,,,,,www.eppendorf.com,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Epworth Richmond Hospital,,ligament stem cell,,Melbourne,A/Prof Eugene Ek,A/Prof Eugene Ek,,,46.3144754,11.0480288
,ERA Consulting,,,,,,,ERA Consulting,https://www.biopharma-excellence.com/,46.3144754,11.0480288
,ESFAM Biotech,,,"Level 5, Townsend Building, Sudley Road, Heidelberg Victoria 3084, Australia",Melbourne,,,ESFAM Biotech,https://esfambiotech.com.au/,,
Clinical CRO,Eurofins,,,179 Magowar Road GIRRAWEEN   NSW  2145,Sydney,,Fergus O'Connell,,,-33.8007581,150.9418955
,Eversana,,,"146 Arthur Street, Suite 902, Level 9, North Sydney, Australia NSW 2060",Sydney,,,Eversana,https://www.eversana.com/,,
,Evrima Technologies Pty Ltd,,,,,,,Evrima Technologies Pty Ltd,https://www.evrima.com/,46.3144754,11.0480288
,Exigence,,,"Level 2, 116 Hardware Street Melbourne VIC 3000",Melbourne,,,Exigence,https://www.exigence.com.au/,,
,"Facet Life Sciences, inc.",,,,,,,"Facet Life Sciences, inc.",http://facetlifesciences.com/,46.3144754,11.0480288
,FB Rice,,,"Level 33, 477 Collins StreetMelbourne VIC 3000 Australia",Melbourne,,,FB Rice,http://www.fbrice.com.au/,,
,FB Rice,,,"Level 23, 44 Market StreetSydney NSW 2000 Australia",Sydney,,,FB Rice,,,
,FB Rice,,,"Level 11, 1 Eagle StreetBrisbane QLD 4000 Australia",Brisbane,,,FB Rice,,,
,FB Rice,,,"Level 24, 91 King William StreetAdelaide SA 5000 Australia",Adelaide,,,FB Rice,,,
,FB Rice,,,"Level 12, 197 St Georges TerracePerth WA 6000 Australia",Perth,,,FB Rice,,,
,FB Rice,,,"Level 14, 153 Macquarie StParramatta NSW 2150 Australia",Sydney,,,FB Rice,,,
,Fenix Innovation Group,,,"130/45 Gilby Rd., Mount Waverley, VIC 3149 Australia",Melbourne,,,Fenix Innovation Group,https://www.fenixinnovationgroup.com/,-37.8993461,145.136382
,Field Orthopaedics Pty Ltd,,,"30 Florence St, Teneriffe QLD Australia 4005",Brisbane,,,Field Orthopaedics Pty Ltd,https://fieldorthopaedics.com/,,
Institutions treating patients with CGT pharmaceuticals,Fiona Stanley Hospital,,"MSC, hemophilia GT, allo CAR T, iPSC-MSC",,Perth,"Dr Stephen Honeybul, MD, John Rasko, Aditi Mehta, Jolanta Airey","Dr Stephen Honeybul, MD, John Rasko, Aditi Mehta, Jolanta Airey",,,46.3144754,11.0480288
Approved commercial treatment centres,Fiona Stanley Hospital,,,,Perth,,,,,46.3144754,11.0480288
,FivepHusion,,,,,,,FivepHusion,https://fivephusion.com/,46.3144754,11.0480288
Research facilities,Florey Institute of Neuroscience,,,,Melbourne,,Clare Parish,,,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Footscray Hospital,,iPSC-MSC,,Melbourne,"Jolanta Airey, MD","Jolanta Airey, MD",,,46.3144754,11.0480288
,Formrite Group Pty Ltd,,,"18/13 Gibbens Rd, ?West Gosford NSW 2250, Australia",Sydney,,,Formrite Group Pty Ltd,https://www.formrite.com.au/,-33.4156225,151.3250102
,Fortrea,,,"8 Moore Drive, Durham, NC 27703",,,,Fortrea,https://www.fortrea.com/,35.9350542,-78.86598115
Supporting initiatives,Foundation for the Accreditation of Cellular Therapies (FACT),Setting the global standard for high quality patient care in cellular therapies,https://factglobal.org/,,,,Ngaire Elwood,,https://factglobal.org/,46.3144754,11.0480288
,FPA Patent Attorneys,,,"Level 19, South Tower, 80 Collins Street, Melbourne VIC 3000",Melbourne,,,FPA Patent Attorneys,http://www.fpapatents.com/,,
,Franke Hyland,,,"Level 2 of the Hyundai Building, 394 Lane Cove Road, Macquarie Park NSW 2113",Sydney,,,Franke Hyland,http://www.frankehyland.com.au/,,
,Fuse Recruitment,,,"Suite 1, Level 2, 313 Burwood Road, Hawthorn 3122, Victoria",Melbourne,,,Fuse Recruitment,https://www.fuserecruitment.com/,,
,Fuse Recruitment,,,"Level 14, 32 Smith St, Parramatta 2150, New South Wales",Sydney,,,Fuse Recruitment,,,
Research facilities,Garvan Institute of Medical Research,,,"384 Victoria Street Darlinghurst NSW, Australia 2010",Sydney,,,,,,
Non cell therapy manufacture applications,Gelomics,"3D tissue culture models in a matter of minutes.
Reproducible, cost-effective, and highly predictive of human biology",https://www.gelomics.com/,,Brisbane,,,,https://www.gelomics.com/,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Genesis Research Services,,non-integrating DNA plasmid neuropathic pain,,Newcastle,"Howard Rutman, MD,MBA","Howard Rutman, MD,MBA",,,46.3144754,11.0480288
,Genetic Techonologies Ltd,,,"60-66 Hanover Street, Fitzroy, Victoria 3065 Australia",Melbourne,,,Genetic Techonologies Ltd,http://www.genetype.com/,-37.8027229,144.9742053
Clinical CRO,Genomics for Life,"organoid pathology service, genetic testing",https://www.genomicsforlife.com.au/,,Brisbane,,,,https://www.genomicsforlife.com.au/,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,GenScript,,https://www.genscript.com/,,,,,,https://www.genscript.com/,46.3144754,11.0480288
,Gertrude Biomedical Pty Ltd,,,"30 Flemington Road, Parkville VIC 3052",Melbourne,,,Gertrude Biomedical Pty Ltd,https://www.gertrudebiomed.com/,-37.7973774,144.9533403
,Gild Bioscience,,,"PO Box 213, Moorabbin, VIC, 3189",Melbourne,,,Gild Bioscience,https://thegildgroup.com/bioscience/,,
Commerical providers of Advanced Medicines,Gilead Science,Ex-vivo gene/cell therapy Yescarta and Tecartus.,,,Sydney,,Jane Langford,,,46.3144754,11.0480288
,Ginkgo Bioworks,,,"27 Drydock Avenue, 8th Floor, Boston, MA 02210",,,,Ginkgo Bioworks,https://www.ginkgobioworks.com/,,
Clinical trials of Advanced Medicines,GlaxoSmithKline,,,,,,,,,46.3144754,11.0480288
,GPN Vaccines,,,,,,,GPN Vaccines,https://gpnvaccines.com/,46.3144754,11.0480288
,Grant Thornton Australia Limited,,,"Level 3, 170 Frome Street, Adelaide SA 5000",Adelaide,,,Grant Thornton Australia Limited,http://www.grantthornton.com.au/en/industries/life-sciences/,,
,Grant Thornton Australia Limited,,,"Level 18, 145 Ann Street, Brisbane QLD 4000",Brisbane,,,Grant Thornton Australia Limited,,,
,Grant Thornton Australia Limited,,,"Collins Square, Tower 5, Level 22, 727 Collins Street, Melbourne VIC  3008",Melbourne,,,Grant Thornton Australia Limited,,,
,Grant Thornton Australia Limited,,,"Central Park, Level 43, 152 - 158 St Georges Terrace, Perth WA 6000",Perth,,,Grant Thornton Australia Limited,,,
,Grant Thornton Australia Limited,,,"Level 13, 15 Lake Street, Cairns QLD 4870",Cairns,,,Grant Thornton Australia Limited,,,
,Grant Thornton Australia Limited,,,"Level 17, 383 Kent Street, Sydney NSW 2000",Sydney,,,Grant Thornton Australia Limited,,,
Clinical CRO,GreenLight Clinical Pty Ltd,,,,,,,,,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Greenslopes Private Hospital/Gallipoli Medical Research Foundation,,Adoptive cell therapy,,Brisbane,"Rohit Joshi, MD","Rohit Joshi, MD",,,46.3144754,11.0480288
,Gretals Australia Pty Ltd,,,,,,,Gretals Australia Pty Ltd,https://www.gretals.com/,46.3144754,11.0480288
,Grey Wolf Therapeutics Pty Ltd,,,"99 Park Drive, Milton Park, Abingdon, OX14 4RY, UK",,,,Grey Wolf Therapeutics Pty Ltd,https://www.greywolftherapeutics.com/,,
,Griffith Hack,,,"Level 15, 376-390 Collins St, Melbourne VIC 3000",Melbourne,,,Griffith Hack,http://www.griffithhack.com/,,
,Griffith Hack,,,"Suite 4.01, Level 4, 100 Arthur Street, North Sydney NSW 2060",Sydney,,,Griffith Hack,,,
,Griffith Hack,,,"Suite 1402 Level 14, 110 Eagle Street, Brisbane QLD 4000",Brisbane,,,Griffith Hack,,,
,Griffith Hack,,,"Level 22, 77 St. Georges Terrace, Perth WA 6000",Perth,,,Griffith Hack,,,
,Griffith Institute for Drug Discovery,,,,,,,Griffith Institute for Drug Discovery,https://www.griffith.edu.au/institute-drug-discovery,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Griffith University,,T cells Multiple Schlerosis,,Brisbane,"Kiren Kresa-Reahl, MD","Kiren Kresa-Reahl, MD",,,46.3144754,11.0480288
,"Griffith University, Griffith Enterprise",,,,,,,"Griffith University, Griffith Enterprise",http://www.griffith.edu.au/,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,GSK Investigational site,,"Adoptive cell therapy, engineered T cells",,Melbourne,Jayesh Desai,Jayesh Desai,,,46.3144754,11.0480288
Companies developing Advanced Medicines,HaemaLogiX Pty Ltd,CAR T,https://www.haemalogix.com/,"Suite 306, Level 3, 343 George Street, SYDNEY NSW  2000 Australia",Brisbane,,Tertia Dex,,https://www.haemalogix.com/,,
,Hall & Wilcox,,,"100 King William Street, Adelaide SA 5000, Australia",Adelaide,,,Hall & Wilcox,https://hallandwilcox.com.au/,,
,Hall & Wilcox,,,"Level 18, 240 Queen Street, Brisbane QLD 4000 Australia",Brisbane,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Level 4, 33 Ainslie Place, Canberra ACT 2601 Australia",Canberra,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Tenancy A, Ground Floor, 18 Smith Street, Darwin NT 0800 Australia",Darwin,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Level 11, Rialto South Tower, 525 Collins Street, Melbourne VIC 3000 Australia",Melbourne,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Level 4, 400 Hunter Street, Newcastle NSW 2300 Australia",Sydney,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Level 19 108 St Georges Terrace, Perth WA 6000 Australia",Perth,,,Hall & Wilcox,,,
,Hall & Wilcox,,,"Level 18, 347 Kent Street, Sydney NSW 2000 Australia",Sydney,,,Hall & Wilcox,,,
Research facilities,Harry Perkins Research institute,,,,Perth,,,,,46.3144754,11.0480288
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"202 Water St, Excelsior, MN 55331, USA",,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),https://en.harvestiro.com/,44.9034079,-93.56637441
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"6FJ8+GF3, Nanjing Rd (W), Jing'An, Shanghai, China, 200041",,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"No. 5, Zhongxiao E Rd, Zhongzheng District, Taipei City, Taiwan 100",,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"20 Customs Street East, Auckland CBD, Auckland 1010, New Zealand",Auckland,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,-36.8449444,174.7682818
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"5f, 460 Bongeunsa-ro, Gangnam District, Seoul, South Korea",,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,
,Health and Medical Industries,,,,,,,Health and Medical Industries,https://dti.sa.gov.au/,46.3144754,11.0480288
,Heart Research Institute,,,"7 Eliza Street, Newtown NSW 2042",Sydney,,,Heart Research Institute,https://www.hri.org.au/,-33.89634,151.1788062
Non cell therapy manufacture applications,Heuros,Technology for cultured meat products,https://www.heuros.com/,,Brisbane,,,,https://www.heuros.com/,46.3144754,11.0480288
,HMC Capital,,,"Level 7, 1 Macquarie Place, Sydney NSW 2000",Sydney,,,HMC Capital,https://www.hmccapital.com.au/,,
Approved commercial treatment centres,Hobart commercial site,,,,Hobart,,,,,46.3144754,11.0480288
,Horten Medical,,,"The Connectory, 701-703 Parramatta Road, Leichhardt NSW 2040",Sydney,,,Horten Medical,http://www.hortenmedical.com.au/,,
non TGA licensed phase 0/1 manufacture facilities,Hudson Institute Cell Therapy and Regenerative Medicine Platform (Hudson Institute),,cord blood for preterm cerebral palsy (Monash),,Melbourne,,,,,46.3144754,11.0480288
Research facilities,Hudson Institute of Medical Research,b thalassemia gene therapy,"Alan Trounson, Jim Vadolas",,Melbourne,,Alan Trounson,,,46.3144754,11.0480288
,Hunton executive Recruitment and Consulting Pty Ltd,,,,,,,Hunton Executive Recruitment and Consulting Pty Ltd,https://www.huntonexecutive.com/,46.3144754,11.0480288
,ide Group,,,"701-703 Parramatta Rd, Leichhardt NSW 2040 AUS",Sydney,,,ide Group,https://ide.group/,,
,ide Group,,,"Stationsplein 45, Unit D2.113, 3013 AK Rotterdam NLD",,,,ide Group,,,
,ide Group,,,"5066 West Chester Pike, Newtown Square PA 19073 USA",,,,ide Group,,39.9861022,-75.4094439
TGA licensed GMP facilities (and process development),IDT Australia Ltd,Industrial scale manufacture incl. fill-finish. No CGT as yet but can do mRNA encapsulation and fill finish.,https://en.idtaus.com.au/,"45 Wadhurst Drive, Boronia, Victoria 3155 Australia",Melbourne,,,,https://en.idtaus.com.au/,-37.8685475,145.2550792
,Illumina Australia Pty Ltd,,,"5200 Illumina Way, San Diego, CA 92122",,,,Illumina Australia Pty Ltd,http://www.illumina.com/,,
,Immuron Limited,,,"Building 10, 25-37 Chapman Street, Blackburn North, VIC 3131 Australia",Melbourne,,,Immuron Limited,http://www.immuron.com/,,
,Immutep Limited,,,"Level 32, Suite 32.07 Australia Square, 264 George Street, Sydney, NSW 2000, Australia",Sydney,,,Immutep Limited,http://www.immutep.com/,,
,Immutep Limited,,,"Parc Les Algorithmes, Btiment 7- Le Pythagore, Route de lOrme - RD128, 91190 SAINT-AUBIN France",,,,Immutep Limited,,,
,Immutep Limited,,,"Glinkastr. 28, 10117 Berlin Germany",,,,Immutep Limited,,52.513966,13.3864463
Companies developing Advanced Medicines,ImmVirX,Oncolytic virus,https://www.immvirx.com/,,Sydney,,,,https://www.immvirx.com/,46.3144754,11.0480288
,ImpactXHealth,,,,,,,ImpactXHealth,https://www.impactxhealth.com/,46.3144754,11.0480288
Companies developing Advanced Medicines,Imugene Ltd,CAR T and oncolytic viruses,https://www.imugene.com/,"Suite 12.01, Level 12, 4-6 Bligh Street, SYDNEY, NSW 2000 AUSTRALIA",Sydney,,Leslie Chong,,https://www.imugene.com/,,
Advanced Medicine tools providers - with physical presence in Australia,In Vitro Technologies,,www.invitro.com.au,,,,Daina Elliott,,www.invitro.com.au,46.3144754,11.0480288
Commercialisation strategy,Increment4 Pty. Ltd.,,https://www.linkedin.com/company/increment4/,,Melbourne,,Gerry McKiernan,,https://www.linkedin.com/company/increment4/,46.3144754,11.0480288
,Indigo Advisory,,,"450 Lexington Ave, 4th Fl., NY, NY 10017",,,,Indigo Advisory,https://www.indigoadvisorygroup.com/,,
,Ingham Institute for Applied Medical Research,,,"1 Campbell Street, Liverpool NSW 2170",Sydney,,,Ingham Institute for Applied Medical Research,http://www.inghaminstitute.org.au/,-33.9182993,150.9278886
,InhaleRx Ltd,,,"Level 5, 126 Phillip Street, SYDNEY NSW 2000",Sydney,,,InhaleRx Ltd,https://inhalerx.com.au/,,
,"Innovation & Commercialisation Services, The University of Adelaide",,,,,,,"Innovation & Commercialisation Services, The University of Adelaide",http://www.adelaide.edu.au/ics,46.3144754,11.0480288
,INOVIQ Limited,,,"23 Normanby Road, Notting Hill VIC 3168 Australia",Melbourne,,,INOVIQ Limited,http://www.inoviq.com/,-37.9052136,145.1311603
,Institute for Glycomics,,,,,,,Institute for Glycomics,https://www.griffith.edu.au/institute-glycomics,46.3144754,11.0480288
,"Institute for Molecular Bioscience, The University of Queensland",,,,,,,"Institute for Molecular Bioscience, The University of Queensland",,46.3144754,11.0480288
,Integrated DNA Technologies Australia Pty Ltd,,,"1710 Commercial Park, Coralville, Iowa 52241 USA",,,,Integrated DNA Technologies Australia Pty Ltd,http://www.idtdna.com/,41.69590154,-91.61407986
,Integrated DNA Technologies Australia Pty Ltd,,,"41 Science Park Road, #01-29 The Gemini, Singapore Science Park II, Singapore 117610, Republic of Singapore",,,,Integrated DNA Technologies Australia Pty Ltd,,,
,Integrated DNA Technologies Australia Pty Ltd,,,"Interleuvenlaan 12A, B-3001 Leuven Belgium",,,,Integrated DNA Technologies Australia Pty Ltd,,,
,Intellect Labs Pty Ltd,,,"36 Agnes Street, Fortitude Valley QLD 4006 Australia",Brisbane,,,Intellect Labs Pty Ltd,https://intellectlabs.com.au/,-27.4577045,153.0309402
,Intuitive Insurance Solutions Pty Ltd,,,"Suite 6/03, 127 York St, Sydney NSW 2000",Sydney,,,Intuitive Insurance Solutions Pty Ltd,http://www.intuitiveinsurance.com.au/,,
Advanced Medicine tools providers - with physical presence in Australia,Inventia Life Science,,www.inventia.life,,Sydney,,Jeremy Dobrowolski,,www.inventia.life,46.3144754,11.0480288
